"Date","Open","High","Low","Close","AdjClose","Volume"
"2021-04-09","10997.0390625","11120.7998046875","10908.638671875","11085.439453125","10591.716796875","49082509"
"2021-04-12","11173.83984375","11226.880859375","11085.439453125","11191.5205078125","10693.07421875","47375507"
"2021-04-13","11244.560546875","11244.560546875","10926.318359375","10997.0390625","10507.2548828125","64168655"
"2021-04-14","10890.9580078125","11085.439453125","10820.2373046875","11050.0791015625","10557.931640625","43058229"
"2021-04-15","11050.0791015625","11050.0791015625","10802.5576171875","10820.2373046875","10338.3271484375","53813526"
"2021-04-16","10749.517578125","10837.91796875","10537.35546875","10678.796875","10203.1865234375","52492269"
"2021-04-19","10767.197265625","10890.9580078125","10590.396484375","10784.876953125","10304.541015625","40128386"
"2021-04-20","10855.59765625","10961.6787109375","10643.4365234375","10784.876953125","10304.541015625","37417432"
"2021-04-21",,,,,,
"2021-04-22","10749.517578125","10784.876953125","10325.1943359375","10325.1943359375","9865.33203125","38869345"
"2021-04-23","10325.1943359375","10714.1572265625","10289.833984375","10714.1572265625","10236.970703125","47836476"
"2021-04-26","10714.1572265625","10714.1572265625","10431.2744140625","10466.634765625","10000.47265625","41066163"
"2021-04-27","10466.634765625","10590.396484375","10325.1943359375","10466.634765625","10000.47265625","29190681"
"2021-04-28","10466.634765625","10890.9580078125","10466.634765625","10696.4765625","10220.0791015625","49992852"
"2021-04-29","10784.876953125","10943.9990234375","10731.8369140625","10731.8369140625","10253.86328125","54312675"
"2021-04-30",,,,,,
"2021-05-03",,,,,,
"2021-05-04","10466.634765625","11085.439453125","10466.634765625","11050.0791015625","10557.931640625","89244179"
"2021-05-05","11156.16015625","11456.72265625","11138.4794921875","11209.2001953125","10709.966796875","80442772"
"2021-05-06","11209.2001953125","11350.6416015625","11085.439453125","11173.83984375","10676.1806640625","53909396"
"2021-05-07","11067.759765625","11209.2001953125","11032.3994140625","11173.83984375","10676.1806640625","70226871"
"2021-05-10","11173.83984375","11828.0048828125","11156.16015625","11739.6044921875","11216.7470703125","103845123"
"2021-05-11","11739.6044921875","11810.3251953125","11562.802734375","11562.802734375","11047.8203125","71789925"
"2021-05-12","11509.7626953125","11739.6044921875","11474.40234375","11739.6044921875","11216.7470703125","59926039"
"2021-05-13","11598.1630859375","11951.765625","11598.1630859375","11651.2041015625","11132.2841796875","76065063"
"2021-05-14","11810.3251953125","11810.3251953125","11615.84375","11668.8837890625","11149.17578125","61834679"
"2021-05-17","11845.6845703125","11845.6845703125","11598.1630859375","11633.5234375","11115.3916015625","54419291"
"2021-05-18","11615.84375","11845.6845703125","11527.4423828125","11774.96484375","11250.533203125","66282894"
"2021-05-19","11916.4052734375","12199.287109375","11810.3251953125","12199.287109375","11655.95703125","84003072"
"2021-05-20","12270.0078125","12287.6884765625","12110.88671875","12199.287109375","11655.95703125","51317220"
"2021-05-21","12163.927734375","12464.4892578125","12110.88671875","12252.328125","11706.6357421875","57996754"
"2021-05-24","12305.3681640625","12376.0888671875","12163.927734375","12287.6884765625","11740.4208984375","58966316"
"2021-05-25","12305.3681640625","12658.970703125","12287.6884765625","12658.970703125","12095.1669921875","65196929"
"2021-05-26","12994.8935546875","13260.0947265625","12941.8525390625","13260.0947265625","12669.517578125","98009758"
"2021-05-27","13260.0947265625","13348.49609375","12747.37109375","12906.4921875","12331.6640625","81104620"
"2021-05-28","12941.8525390625","13330.8154296875","12800.412109375","13330.8154296875","12737.0888671875","75233904"
"2021-05-31","13436.896484375","13542.9775390625","13083.2939453125","13436.896484375","12838.4462890625","88248458"
"2021-06-01","13649.0576171875","13737.458984375","13472.2568359375","13507.6171875","12906.0166015625","46185753"
"2021-06-02","13401.5361328125","13684.41796875","13295.455078125","13613.697265625","13007.3720703125","68306917"
